iter	RMSE
198	0.8849254469
199	0.8822823068
200	0.8795693812
201	0.8773508424
202	0.875810138
203	0.8746676132
204	0.8726411735
205	0.8709618093
206	0.8690543471
207	0.8672992804
208	0.8637643149
209	0.8621948966
210	0.8598679314
211	0.856807204
212	0.8561450048
213	0.8517597929
214	0.848443762
215	0.8459553192
216	0.8455234273
217	0.8416949653
218	0.8379654244
219	0.8359960588
220	0.8335651026
221	0.8322827316
222	0.830794023
223	0.8285627714
224	0.8246721752
225	0.8219894627
226	0.8194151518
227	0.8176559836
228	0.8168395226
229	0.8139953974
230	0.811887588
231	0.8109508345
232	0.8083111517
233	0.8068743245
234	0.8064738183
235	0.8025138539
236	0.8001561019
237	0.7982353542
238	0.7957194755
239	0.7922076807
240	0.7898009072
241	0.7879522061
242	0.7869403154
243	0.7851490169
244	0.7841545872
245	0.7836606105
246	0.7808094438
247	0.7791335124
248	0.7786260923
249	0.7783647252
250	0.775146651
251	0.772143798
252	0.7718726006
253	0.7693013071
254	0.7690188764
255	0.7679041705
256	0.7676896852
257	0.7673839591
258	0.7650260725
259	0.7618984795
260	0.7589148185
261	0.7561404549
262	0.753865186
263	0.7514467874
264	0.7506626232
265	0.747802875
266	0.7475471119
267	0.7459241403
268	0.7457360323
269	0.7455547053
270	0.7430263813
271	0.7420981499
272	0.7404046155
273	0.7389212526
274	0.7387242975
275	0.7376697222
276	0.7372949243
277	0.7353751636
278	0.7339144248
279	0.731625074
280	0.7294199147
281	0.7292054407
282	0.7283164583
283	0.7254365849
284	0.7236643336
285	0.720956729
286	0.7181911413
287	0.7180134654
288	0.7153912297
289	0.7132984645
290	0.7131143386
291	0.710812894
292	0.7095032284
293	0.7065263933
294	0.7048625886
295	0.7022150894
296	0.699874755
297	0.6980787021
298	0.6947339474
299	0.6945732713
300	0.6936507316
301	0.6918999933
302	0.6917764465
303	0.6905042486
304	0.6894885013
305	0.6861314635
306	0.6859827072
307	0.6841022526
308	0.681654788
309	0.6799482215
310	0.6778368607
311	0.6751802595
312	0.673856835
313	0.6725922964
314	0.6710106044
315	0.6685203557
316	0.6663041253
317	0.6634736401
318	0.6627542685
319	0.661641848
320	0.6603813434
321	0.6581110007
322	0.6579875452
323	0.6563376599
324	0.655704885
325	0.6555796478
326	0.6554781264
327	0.6548515789
328	0.6543476723
329	0.6542313751
330	0.6520025864
331	0.6518909036
332	0.6493150733
333	0.6491979499
334	0.6486642964
335	0.6485402889
336	0.6473192
337	0.6459783063
338	0.6452033634
339	0.6439728368
340	0.6421873609
341	0.6395880583
342	0.6376624393
343	0.6363570138
344	0.6346931763
345	0.6321443192
346	0.6320579423
347	0.6306608431
348	0.6293860646
349	0.6267487559
350	0.6256252675
351	0.6234390958
352	0.6219576723
353	0.6194724431
354	0.6171096632
355	0.6152987606
356	0.6146773035
357	0.6121293997
358	0.612022872
359	0.6103594037
360	0.6088697656
361	0.6087718324
362	0.6068445842
363	0.6067395505
364	0.604710801
365	0.6035435313
366	0.6034372047
367	0.6032906897
368	0.6024640275
369	0.6001715028
370	0.5986627945
371	0.5975426283
372	0.5953509953
373	0.593207149
374	0.5917701428
375	0.5909321689
376	0.5891006513
377	0.5876369916
378	0.58577096
379	0.5856667316
380	0.5844818917
381	0.5828843367
382	0.581525515
383	0.5805087073
384	0.5786490515
385	0.5776181652
386	0.5759915349
387	0.5758540301
388	0.5757536762
389	0.5752060483
390	0.5744328149
391	0.5741761599
392	0.5722206597
393	0.5720535339
394	0.5711119365
395	0.5693803294
396	0.568252323
397	0.5667607388
398	0.5658034034
399	0.5657035453
400	0.565047997
401	0.5644902091
402	0.5640175285
403	0.5639122167
404	0.5619284758
405	0.5607857049
406	0.560102844
407	0.5585140517
408	0.557156142
409	0.5563180043
410	0.5545312516
411	0.5540986577
412	0.5527400954
413	0.5516749673
414	0.551591968
415	0.5512373797
416	0.5497127526
417	0.5484737243
418	0.548384907
419	0.547860629
420	0.5457447244
421	0.5456557812
422	0.5437014024
423	0.5427099585
424	0.5418510112
425	0.5409425339
426	0.5392540246
427	0.5387190815
428	0.5376621528
429	0.5363519725
430	0.536276426
431	0.5360002261
432	0.5353515017
433	0.5348124523
434	0.5347427766
435	0.5336978356
436	0.533625741
437	0.5335240271
438	0.5324426303
439	0.5320526407
440	0.530218812
441	0.5287608282
442	0.5285340388
443	0.5284433848
444	0.5275579416
445	0.525250446
446	0.5244031266
447	0.523352786
448	0.5223428262
449	0.5206099189
450	0.5194216259
451	0.5191104918
452	0.5174707948
453	0.5173997052
454	0.5160080008
455	0.5152515544
456	0.514685002
457	0.5138384114
458	0.5122749744
459	0.5112125488
460	0.5099012406
461	0.5094519521
462	0.5083736005
463	0.5073512176
464	0.5059949302
465	0.5039924845
466	0.5028752635
467	0.5015999726
468	0.5010634647
469	0.4996504108
470	0.4987507473
471	0.4969738922
472	0.4956352497
473	0.4953539712
474	0.4950872799
475	0.4943147679
476	0.4933185084
477	0.4924102823
478	0.4910064085
479	0.4902584156
480	0.489430051
481	0.4883433008
482	0.4873333061
483	0.4868670047
484	0.4864218912
485	0.4852902229
486	0.484211924
487	0.4835569377
488	0.4824640935
489	0.4814975349
490	0.4804078295
491	0.4795691692
492	0.4781843052
493	0.4769442482
494	0.4763814253
495	0.4749866945
496	0.4747197231
497	0.4738783638
498	0.4737668778
499	0.4728855444
500	0.472470556
501	0.4715264353
502	0.4697246121
503	0.4693484143
504	0.4684029226
505	0.4675915045
506	0.4666183772
507	0.466542778
508	0.4660749728
509	0.4654434187
510	0.4653710995
511	0.4639642131
512	0.4634823208
513	0.4622453101
514	0.4617713696
515	0.4616985535
516	0.461315293
517	0.4607186655
518	0.4605576833
519	0.4592360884
520	0.4591761082
521	0.4584918266
522	0.4584327998
523	0.4575093941
524	0.4569886299
525	0.4566615696
526	0.4559914204
527	0.4545837801
528	0.4533503947
529	0.4532925834
530	0.4522664195
531	0.4514530455
532	0.4507210014
533	0.449902909
534	0.4491508067
535	0.4479841795
536	0.4477493919
537	0.4476823799
538	0.4476264065
539	0.446694325
540	0.4464827777
541	0.4463373091
542	0.4460866274
543	0.4451552814
544	0.4447207586
545	0.4438348149
546	0.4433502396
547	0.4427171302
548	0.4413207726
549	0.440609088
550	0.4400274301
551	0.4395954771
552	0.4394261312
553	0.4387558871
554	0.4384299994
555	0.4379387734
556	0.4373122142
557	0.4367124124
558	0.4360963163
559	0.4347209421
560	0.4339459373
561	0.4332922638
562	0.4329977248
563	0.4317388433
564	0.4308813389
565	0.4301147269
566	0.4295832802
567	0.4290829142
568	0.4284192627
569	0.4282308111
570	0.4274578274
571	0.4274005472
572	0.4260167825
573	0.4259486364
574	0.4250708444
575	0.4240663604
576	0.423661486
577	0.4232963058
578	0.4231268938
579	0.4229660358
580	0.4227825959
581	0.4220966459
582	0.4211817652
583	0.4211178276
584	0.4210622088
585	0.4207719955
586	0.4205353791
587	0.4201671808
588	0.4200853921
589	0.4200356303
590	0.4188469517
591	0.4181014714
592	0.4178538176
593	0.417380374
594	0.4171560231
595	0.4167615873
596	0.4164101348
597	0.4154390301
598	0.4148299811
599	0.4141213944
600	0.4138532481
601	0.4135355049
602	0.4129033843
603	0.4126040856
604	0.4123064732
605	0.4122693844
606	0.4112878325
607	0.4108660974
608	0.4106942447
609	0.409846557
610	0.40979065
611	0.4087437479
612	0.4083142459
613	0.4074327857
614	0.4070291438
615	0.406947803
616	0.4069051139
617	0.4063473983
618	0.4056948213
619	0.405641819
620	0.4045528732
621	0.4040682026
622	0.4032964982
623	0.4026608665
624	0.4015087904
625	0.4011195255
626	0.4004579838
627	0.4004081247
628	0.399763688
629	0.3992096413
630	0.3988586185
631	0.398400888
632	0.3981721894
633	0.397924452
634	0.3972134564
635	0.397173012
636	0.3966531805
637	0.395803079
638	0.395199576
639	0.3950873206
640	0.3946294109
641	0.394192719
642	0.3936181697
643	0.393514444
644	0.3931360378
645	0.3927913703
646	0.3925034879
647	0.3922284834
648	0.3911958135
649	0.391084288
650	0.3908329521
651	0.3904148172
652	0.3902308732
653	0.3901941103
654	0.390073141
655	0.3898202524
656	0.3890884527
657	0.3885556863
658	0.3872395277
659	0.38721034
660	0.3866912713
661	0.3860770121
662	0.3855843365
663	0.3851180654
664	0.3840350617
665	0.3836625155
666	0.3834070565
667	0.3827111887
668	0.381904766
669	0.3812613098
670	0.3808596997
671	0.3799195457
672	0.3798727236
673	0.3795571837
674	0.3792588184
675	0.3784479291
676	0.3777586351
677	0.3774502998
678	0.3774002092
679	0.3768464333
680	0.3763068732
681	0.3750969483
682	0.3747402901
683	0.3745162836
684	0.373666867
685	0.3731413638
686	0.3728324164
687	0.371887008
688	0.371317755
689	0.3711309094
690	0.3707806817
691	0.3702012334
692	0.3701084066
693	0.3700239826
694	0.368928799
695	0.368892138
696	0.3688580882
697	0.368556587
698	0.368090545
699	0.3679659592
700	0.3673187752
701	0.3669362338
702	0.366795607
703	0.3665684884
704	0.3656924458
705	0.3651443327
706	0.3644311633
707	0.3643975261
708	0.3638169974
709	0.3628210396
710	0.362728634
711	0.3624165335
712	0.3617390667
713	0.3611699866
714	0.3607918197
715	0.360369181
716	0.3602847643
717	0.3596039361
718	0.3595079988
719	0.3588835111
720	0.3584864041
721	0.3580778538
722	0.3579809815
723	0.3574317522
724	0.3568451801
725	0.3559163478
726	0.3556240421
727	0.3550291687
728	0.3549205089
729	0.3547531256
730	0.3544389285
731	0.3541266546
732	0.3536367757
733	0.3536054701
734	0.3532756286
735	0.3529798048
736	0.3526347263
737	0.3523596914
738	0.3523226353
739	0.3514731547
740	0.3509486487
741	0.3502380717
742	0.3500063247
743	0.3495200052
744	0.3488487062
745	0.3486601373
746	0.3482820759
747	0.3478640314
748	0.3477424264
749	0.3471164628
750	0.3462469827
751	0.3459128162
752	0.3453909046
753	0.3451817559
754	0.3448892306
755	0.3446555569
756	0.3445731143
757	0.3438984352
758	0.3436041912
759	0.3431797389
760	0.3425698804
761	0.342539528
762	0.3417431654
763	0.3411917202
764	0.3410664871
765	0.3407263607
766	0.3401302073
767	0.3393085847
768	0.3384264989
769	0.3382255227
770	0.3377368162
771	0.3376553011
772	0.3370237341
773	0.3368550566
774	0.3365355172
775	0.3359023031
776	0.3352589745
777	0.3351387649
778	0.3348316008
779	0.3345094565
780	0.3339806866
781	0.3338359109
782	0.3332443597
783	0.33247485
784	0.3320769777
785	0.3317074768
786	0.3315198069
787	0.3313017015
788	0.3309258092
789	0.3305691281
790	0.3303348719
791	0.3300033394
792	0.3298555419
793	0.329665312
794	0.3290708765
795	0.3288732368
796	0.3286553937
797	0.3283849674
798	0.328082741
799	0.3277812928
800	0.3275404034
801	0.3268105875
802	0.3266011777
803	0.3262054045
804	0.3258348477
805	0.3254838927
806	0.3250256093
807	0.324999626
808	0.3249103095
809	0.3248806412
810	0.324271634
811	0.3238978779
812	0.3236339486
813	0.3235221463
814	0.3231224152
815	0.3228879442
816	0.322790362
817	0.3222169635
818	0.3221323107
819	0.3217086417
820	0.3208677105
821	0.3207826878
822	0.3205096449
823	0.3197101518
824	0.3193441832
825	0.3192400059
826	0.3184828388
827	0.3177679524
828	0.3176812466
829	0.3173321014
830	0.3172895564
831	0.3172633759
832	0.3171996358
833	0.3165490104
834	0.3161232977
835	0.3158595612
836	0.3155234209
837	0.3149980567
838	0.3149511846
839	0.3147260905
840	0.3145448502
841	0.3144921739
842	0.3138283943
843	0.3136494797
844	0.3134135019
845	0.3127509369
846	0.3123324986
847	0.3119698472
848	0.3119466432
849	0.3116879144
850	0.3114996555
851	0.310771702
852	0.3106845511
853	0.3104576234
854	0.3101383093
855	0.3099925521
856	0.3095998615
857	0.3093844597
858	0.309226933
859	0.3090077001
860	0.3085630519
861	0.308446595
862	0.3080662747
863	0.3077193868
864	0.307517418
865	0.3074527519
866	0.3069848963
867	0.3065216258
868	0.3064652737
869	0.3063061923
870	0.3060547288
871	0.3054236898
872	0.3048972753
873	0.3045921111
874	0.3039533367
875	0.3036088784
876	0.3032437892
877	0.3029542021
878	0.3027106595
879	0.3024762804
880	0.3022351435
881	0.3017512712
882	0.3016134894
883	0.3011948333
884	0.3008438852
885	0.300549654
886	0.3003898825
887	0.300343856
888	0.2998923395
889	0.2996481842
890	0.2993855773
891	0.2990853127
892	0.2990365048
893	0.2986863913
894	0.2984287242
895	0.2983849637
896	0.2982373328
897	0.2979125884
898	0.2976469249
899	0.2971300394
900	0.2967597726
901	0.2963468879
902	0.2962448369
903	0.2962261438
904	0.296026412
905	0.2956682038
906	0.2954897364
907	0.2952870863
908	0.2952259183
909	0.2950906678
910	0.294944558
911	0.2946298468
912	0.2944531048
913	0.2942872394
914	0.2939195106
915	0.2934524054
916	0.2932499245
917	0.2931724007
918	0.2930447646
919	0.2928446636
920	0.2923494799
921	0.292193418
922	0.2920127808
923	0.2915308021
924	0.2914033285
925	0.2907291287
926	0.2904629147
927	0.2901383592
928	0.289722211
929	0.2896863036
930	0.2893615892
931	0.2891341131
932	0.2887193307
933	0.2885488211
934	0.288263595
935	0.2882016435
936	0.2881342475
937	0.2878303522
938	0.287255805
939	0.2872054831
940	0.2870446123
941	0.2869881923
942	0.2867075506
943	0.2864214282
944	0.286378165
945	0.2858483969
946	0.2854688785
947	0.2852023617
948	0.2846322495
949	0.2845235971
950	0.2840361654
951	0.2836826839
952	0.2834226054
953	0.2828781988
954	0.2826727593
955	0.2822864614
956	0.2821790775
957	0.2820337054
958	0.2817837455
959	0.2812635664
960	0.2810874563
961	0.2807497343
962	0.2803784794
963	0.2801817801
964	0.2796484667
965	0.2794750065
966	0.2793263061
967	0.2791665152
968	0.2789595524
969	0.2786422311
970	0.2781988206
971	0.277849669
972	0.2777338122
973	0.2774217115
974	0.2772445614
975	0.2768520306
976	0.2766529301
977	0.2761350284
978	0.275866742
979	0.2753107578
980	0.2750283182
981	0.2749812259
982	0.2748292366
983	0.2744452338
984	0.2743218458
985	0.274100602
986	0.2735741466
987	0.273316084
988	0.2732700926
989	0.2732058789
990	0.2730107846
991	0.2724500732
992	0.2721707055
993	0.2717887871
994	0.2716245749
995	0.271299958
996	0.2706737192
997	0.2704437705
998	0.2703331226
999	0.2701419344
