date,Open,High,Low,Close,Adj Close,Volume,Symbol_x,Period_x,Symbol_y,Period_y
2023-01-03,130.27999877929688,130.89999389648438,124.16999816894531,125.06999969482422,124.37480163574219,112117500,AAPL,Q1/2004,,
2023-01-04,126.88999938964844,128.66000366210938,125.08000183105469,126.36000061035156,125.65763854980469,89113600,AAPL,Q1/2004,,
2023-01-05,127.12999725341797,127.7699966430664,124.76000213623047,125.0199966430664,124.32508087158203,80962700,AAPL,Q1/2004,,
2023-01-06,126.01000213623047,130.2899932861328,124.88999938964844,129.6199951171875,128.89952087402344,87754700,AAPL,Q1/2004,,
2023-01-09,130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,129.4265594482422,70790800,AAPL,Q1/2004,,
2023-01-10,130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,130.0033416748047,63896200,AAPL,Q1/2004,,
2023-01-11,131.25,133.50999450683594,130.4600067138672,133.49000549316406,132.74801635742188,69458900,AAPL,Q1/2004,,
2023-01-12,133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,132.66844177246094,71379600,AAPL,Q1/2004,,
2023-01-13,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,134.01092529296875,57809700,AAPL,Q1/2004,,
2023-01-17,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,135.18438720703125,63646600,AAPL,Q1/2004,,
2023-01-18,136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,134.4584503173828,69672800,AAPL,Q1/2004,,
2023-01-19,134.0800018310547,136.25,133.77000427246094,135.27000427246094,134.5181121826172,58280400,AAPL,Q1/2004,,
2023-01-20,135.27999877929688,138.02000427246094,134.22000122070312,137.8699951171875,137.1036376953125,80223600,AAPL,Q1/2004,,
2023-01-23,138.1199951171875,143.32000732421875,137.89999389648438,141.11000061035156,140.32565307617188,81760300,AAPL,Q1/2004,,
2023-01-24,140.30999755859375,143.16000366210938,140.3000030517578,142.52999877929688,141.73776245117188,66435100,AAPL,Q1/2004,,
2023-01-25,140.88999938964844,142.42999267578125,138.80999755859375,141.86000061035156,141.0714874267578,65799300,AAPL,Q1/2004,,
2023-01-26,143.1699981689453,144.25,141.89999389648438,143.9600067138672,143.15982055664062,54105100,AAPL,Q1/2004,,
2023-01-27,143.16000366210938,147.22999572753906,143.0800018310547,145.92999267578125,145.1188507080078,70555800,AAPL,Q1/2004,,
2023-01-30,144.9600067138672,145.5500030517578,142.85000610351562,143.0,142.20513916015625,64015300,AAPL,Q1/2004,,
2023-01-31,142.6999969482422,144.33999633789062,142.27999877929688,144.2899932861328,143.4879608154297,65874500,AAPL,Q1/2004,,
2023-02-01,143.97000122070312,146.61000061035156,141.32000732421875,145.42999267578125,144.6216278076172,77663600,AAPL,Q1/2004,,
2023-02-02,148.89999389648438,151.17999267578125,148.1699981689453,150.82000732421875,149.981689453125,118339000,AAPL,Q1/2004,,
2023-02-03,148.02999877929688,157.3800048828125,147.8300018310547,154.5,153.64122009277344,154357300,AAPL,Q1/2004,,
2023-02-06,152.57000732421875,153.10000610351562,150.77999877929688,151.72999572753906,150.88661193847656,69858300,AAPL,Q1/2004,,
2023-02-07,150.63999938964844,155.22999572753906,150.63999938964844,154.64999389648438,153.79039001464844,83322600,AAPL,Q1/2004,,
2023-02-08,153.8800048828125,154.5800018310547,151.1699981689453,151.9199981689453,151.0755615234375,64120100,AAPL,Q1/2004,,
